Movie,Year,Runtime,Actor,Actor 2,Actor 3,Actor 4,Director,Genre1,Genre2,Genre3,IMDb,RT,Created
Under Siege,1992,103,Steven Seagal,Gary Busey,Tommy Lee Jones,Unknown,Andrew Davis,Action, Thriller,Unknown,6.5,79.0,2024-02-03
Without Remorse,2021,109,Michael B. Jordan,Jodie Turner-Smith,Jamie Bell,Unknown,Stefano Sollima,Action, Drama, Thriller,5.8,69.63468634686348,2024-02-03
Navy Seals,1990,113,Charlie Sheen,Michael Biehn,Joanne Whalley,Unknown,Lewis Teague,Action, Adventure, Thriller,5.6,19.0,2024-02-03
Rock of Ages,2012,123,Julianne Hough,Diego Boneta,Tom Cruise,Unknown,Adam Shankman,Comedy, Drama, Musical,5.9,43.0,2024-02-03
Lions for Lambs,2007,92,Tom Cruise,Merly Streep,Robert Redford,Unknown,Robert Redford,Crime, Drama, Mystery,6.2,27.0,2024-02-03
The Nice Guys,2016,116,Ryan Gosling,Ryan Gosling,Angourie Rice,Matt Bomer,Shane Black,Action, Comedy, Crime,7.4,92.0,2024-02-10
Cinderella Man,2005,144,Russell Crowe,Renee Zellweger,Craig Bierko,Paul Giamatti,Ron Howard,Biography, Drama, Romance,8.0,80.0,2024-02-10
American History X,1998,119,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Tony Kaye,Crime, Drama,Unknown,8.5,83.0,2024-02-10
The Big Lebowski,1998,117,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,Joel Coen,Comedy, Crime,Unknown,8.1,83.0,2024-02-10
The Outsiders,1983,91,C. Thomas Howell,Matt Dillon,Ralph Macchio,Unknown,Francis Ford Coppola,Crime, Drama,Unknown,7.0,63.0,2024-02-17
Shooting Stars,2023,116,Marquis Mookie Cook,Wood Harris,Caleb McLaughlin,Unknown,Chris Robinson,Drama, Sport,Unknown,6.5,69.63468634686348,2024-03-07
Dune: Part Two,2024,166,Timothee Chalamet,Zendaya,Rebecca Ferguson,Javier Bardem,Denis Villeneuve,Action, Adventure, Drama,8.5,69.63468634686348,2024-03-10
Ready Player One,2018,140,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe,Steven Spielberg,Action, Adventure, Sci-Fi,7.4,72.0,2024-03-21
